"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"DT.NFL.UNPB.CD","Flux publics nets des agences de l’ONU, UNPBF (dollars US courants)","Les flux nets officiels des agences des Nations Unies sont les montants nets déboursés des flux officiels totaux des agences des Nations Unies. Le total des flux d'aide publique désigne la somme de l'aide publique au développement (APD) ou de l'aide publique et des autres apports du secteur public et représente le total des décaissements par le secteur public dans son ensemble pour le pays déclarant. Les décaissements nets sont les décaissements bruts de subventions et de prêts moins les remboursements de capital sur les prêts antérieurs. L'aide publique au développement (APD) désigne les prêts concessionnels (comportant un élément de libéralité d'au moins 25 %, calculé à un taux d'escompte de 10 %) et des subventions accordées pour promouvoir le développement économique et le bien-être dans les pays et territoires se trouvant sur la liste du CAD des bénéficiaires d'APD. L'aide publique fait référence aux flux d'aide provenant de donateurs officiels versée à des pays et territoires figurant à la partie II de la liste des bénéficiaires du CAD : les pays plus avancés de l'Europe centrale et de l'Est, les pays de l'ancienne Union soviétique, et certains pays et territoires en développement qui sont avancés. L'aide publique est fournie selon des conditions similaires à celles de l'APD. La partie II de la liste de bénéficiaires du CAD a été abolie en 2005. La collecte de données sur l'aide publique et les autres flux de ressources vers les pays figurant à la partie II s'est terminée avec les données de 2004. Les autres apports par le secteur public sont les transactions réalisées par le secteur public dont le principal objectif est autre que le développement ou s'il est motivé par le développement, dont l'élément de libéralité est inférieur au seuil de 25 %. Au-delà de ce seuil, ils seraient enregistrés en tant qu'aide publique au développement (APD). Les principales classes de transactions incluses ici sont les crédits officiels à l'exportation, les placements du secteur officiel, les investissements de portefeuille, ainsi que la réorganisation de la dette entreprise par le secteur officiel selon des termes libéraux (indépendamment de la nature ou de l'identité du créancier d'origine).  Les agences des Nations Unies incluent le Fonds des Nations Unies pour l'enfance (UNICEF), l'Office de secours et de travaux des Nations Unies pour les réfugiés de Palestine dans le Proche-Orient (UNRWA), l'Agence internationale de l'énergie atomique (AIEA), le Fonds international de développement agricole (FIDA), le Programme commun des Nations Unies sur le VIH/SIDA (ONUSIDA), le Programme des Nations Unies pour le développement (PNUD), la Commission économique pour l'Europe des Nations Unies (CEENU), le Fonds des Nations Unies pour les activités en matière de population (FNUAP), le Haut Commissariat des Nations Unies pour les réfugiés (UNHCR), le Programme alimentaire mondial (PAM) et l'Organisation mondiale de la santé (OMS). Les données sont en dollars américains courants.","Comité d'aide au développement de l' Organisation de coopération et de développement économiques, Distribution géographique des flux financiers vers les pays en développement, rapport sur la coopération pour le développement et base de données de statistiques sur le développement international. Ces données sont disponibles en ligne à l'adresse suivante : www.oecd.org/dac/stats/idsonline.",
"DT.NFL.UNEC.CD","Flux officiels nets des agences des Nations Unies, CEENU (dollars US actuels)","Les flux nets officiels des agences des Nations Unies sont les montants nets déboursés des flux officiels totaux des agences des Nations Unies. Le total des flux d'aide publique désigne la somme de l'aide publique au développement (APD) ou de l'aide publique et des autres apports du secteur public et représente le total des décaissements par le secteur public dans son ensemble pour le pays déclarant. Les décaissements nets sont les décaissements bruts de subventions et de prêts moins les remboursements de capital sur les prêts antérieurs. L'aide publique au développement (APD) désigne les prêts concessionnels (comportant un élément de libéralité d'au moins 25 %, calculé à un taux d'escompte de 10 %) et des subventions accordées pour promouvoir le développement économique et le bien-être dans les pays et territoires se trouvant sur la liste du CAD des bénéficiaires d'APD. L'aide publique fait référence aux flux d'aide provenant de donateurs officiels versée à des pays et territoires figurant à la partie II de la liste des bénéficiaires du CAD : les pays plus avancés de l'Europe centrale et de l'Est, les pays de l'ancienne Union soviétique, et certains pays et territoires en développement qui sont avancés. L'aide publique est fournie selon des conditions similaires à celles de l'APD. La partie II de la liste de bénéficiaires du CAD a été abolie en 2005. La collecte de données sur l'aide publique et les autres flux de ressources vers les pays figurant à la partie II s'est terminée avec les données de 2004. Les autres apports par le secteur public sont les transactions réalisées par le secteur public dont le principal objectif est autre que le développement ou s'il est motivé par le développement, dont l'élément de libéralité est inférieur au seuil de 25 %. Au-delà de ce seuil, ils seraient enregistrés en tant qu'aide publique au développement (APD). Les principales classes de transactions incluses ici sont les crédits officiels à l'exportation, les placements du secteur officiel et les investissements de portefeuille, ainsi que la réorganisation de la dette entreprise par le secteur officiel selon des termes libéraux (indépendamment de la nature ou de l'identité du créancier d'origine).  Les agences des Nations Unies incluent le Fonds des Nations Unies pour l'enfance (UNICEF), l'Office de secours et de travaux des Nations Unies pour les réfugiés de Palestine dans le Proche-Orient (UNRWA), le Programme alimentaire mondial (PAM), le Fonds international de développement agricole (FIDA), le Programme des Nations Unies pour le développement (PNUD), le Fonds des Nations Unies pour les activités en matière de population (FNUAP), le Haut Commissariat des Nations Unies pour les réfugiés (UNHCR), le Programme commun des Nations Unies sur le VIH/SIDA (ONUSIDA) et le programme ordinaire d'assistance technique des Nations Unies (UNTA). Les données sont en dollars américains courants.","Comité d'aide au développement de l' Organisation de coopération et de développement économiques, Distribution géographique des flux financiers vers les pays en développement, rapport sur la coopération pour le développement et base de données de statistiques sur le développement international. Ces données sont disponibles en ligne à l'adresse suivante : www.oecd.org/dac/stats/idsonline.",
"DT.NFL.UNAI.CD","Flux publics nets des agences de l’ONU, ONUSIDA ($ US courants)","Les flux nets officiels des agences des Nations Unies sont les montants nets déboursés des flux officiels totaux des agences des Nations Unies. Le total des flux d'aide publique désigne la somme de l'aide publique au développement (APD) ou de l'aide publique et des autres apports du secteur public et représente le total des décaissements par le secteur public dans son ensemble pour le pays déclarant. Les décaissements nets sont les décaissements bruts de subventions et de prêts moins les remboursements de capital sur les prêts antérieurs. L'aide publique au développement (APD) désigne les prêts concessionnels (comportant un élément de libéralité d'au moins 25 %, calculé à un taux d'escompte de 10 %) et des subventions accordées pour promouvoir le développement économique et le bien-être dans les pays et territoires se trouvant sur la liste du CAD des bénéficiaires d'APD. L'aide publique fait référence aux flux d'aide provenant de donateurs officiels versée à des pays et territoires figurant à la partie II de la liste des bénéficiaires du CAD : les pays plus avancés de l'Europe centrale et de l'Est, les pays de l'ancienne Union soviétique, et certains pays et territoires en développement qui sont avancés. L'aide publique est fournie selon des conditions similaires à celles de l'APD. La partie II de la liste de bénéficiaires du CAD a été abolie en 2005. La collecte de données sur l'aide publique et les autres flux de ressources vers les pays figurant à la partie II s'est terminée avec les données de 2004. Les autres apports par le secteur public sont les transactions réalisées par le secteur public dont le principal objectif est autre que le développement ou s'il est motivé par le développement, dont l'élément de libéralité est inférieur au seuil de 25 %. Au-delà de ce seuil, ils seraient enregistrés en tant qu'aide publique au développement (APD). Les principales classes de transactions incluses ici sont les crédits officiels à l'exportation, les placements du secteur officiel, les investissements de portefeuille, ainsi que la réorganisation de la dette entreprise par le secteur officiel selon des termes libéraux (indépendamment de la nature ou de l'identité du créancier d'origine).  Les agences des Nations Unies incluent le Fonds des Nations Unies pour l'enfance (UNICEF), l'Office de secours et de travaux des Nations Unies pour les réfugiés de Palestine dans le Proche-Orient (UNRWA), l'Agence internationale de l'énergie atomique (AIEA), le Fonds international de développement agricole (FIDA), le Programme commun des Nations Unies sur le VIH/SIDA (ONUSIDA), le Programme des Nations Unies pour le développement (PNUD), la Commission économique pour l'Europe des Nations Unies (CEENU), le Fonds des Nations Unies pour les activités en matière de population (FNUAP), le Haut Commissariat des Nations Unies pour les réfugiés (UNHCR), le Programme alimentaire mondial (PAM) et l'Organisation mondiale de la santé (OMS). Les données sont en dollars américains courants.","Comité d'aide au développement de l' Organisation de coopération et de développement économiques, Distribution géographique des flux financiers vers les pays en développement, rapport sur la coopération pour le développement et base de données de statistiques sur le développement international. Ces données sont disponibles en ligne à l'adresse suivante : www.oecd.org/dac/stats/idsonline.",
"SP.MTR.1519.ZS","Mères adolescentes (% de femmes âgées de 15 à 19 ans qui ont des enfants ou qui sont actuellement enceintes)","Les mères adolescentes désignent le pourcentage de femmes âgées de 15 à 19 ans qui ont des enfants ou qui sont actuellement enceintes.","Enquêtes démographiques et de santé par Macro International.",
"SP.DYN.WFRT","Taux de fécondation désirée (naissances par femme)","Le taux de fécondation voulue est une estimation de ce que serait le taux de fertilité total si toutes les naissances non voulues étaient évitées.","Source : Enquêtes démographiques et sur la santé de Macro International.",
"SP.DYN.LE00.MA.IN","Espérance de vie à la naissance, hommes (années)","L'espérance de vie à la naissance indique le nombre d'années qu'un nouveau-né devrait vivre si les règles générales de mortalité au moment de sa naissance devaient rester les mêmes tout au long de sa vie.","Source : (1) Division des Nations Unies pour la population. 2009. World Population Prospects: The 2008 Revision (Perspectives relatives à la population mondiale : révision de 2008). New York, Nations Unies, Département des affaires sociales et économiques (tableaux Excel avancés), (2) Rapports de recensement et autres publications statistiques des bureaux nationaux de statistiques, (3) Eurostat : statistiques démographiques, (4) Secrétariat de la Communauté du Pacifique : programme de statistiques et de démographie et (5) Bureau du recensement américain : base de données internationale.",
"SP.DYN.IMRT.IN","Taux de mortalité infantile (pour 1 000 naissances vivantes)","Le taux de mortalité infantile est le nombre d'enfants qui décèdent avant d'atteindre l'âge de un an pour 1 000 naissances vivantes au cours d'une année donnée.","Source : Niveaux et tendances en matière de mortalité maternelle et infantile. Rapport de 2011. Estimations élaborées par le Groupe inter-agences de l'ONU sur la mortalité infantile (UNICEF, OMS, Banque mondiale, Département des affaires économiques et sociales de l'ONU, PNUD).",
"SP.DYN.CDRT.IN","Taux de mortalité, brut (pour 1 000 personnes)","Le taux brut de mortalité indique le nombre de décès au cours de l'année pour 1 000 personnes et est estimé en milieu d'année.  En soustrayant le taux brut de mortalité du taux brut de natalité, on obtient le taux d'augmentation naturelle, qui est égal à l'évolution de la population en l'absence de migration.","Source : (1) Division des Nations Unies pour la population. 2009. World Population Prospects: The 2008 Revision (Perspectives relatives à la population mondiale : révision de 2008). New York, Nations Unies, Département des affaires sociales et économiques (tableaux Excel avancés), (2) Division des statistiques des Nations Unies. Rapport sur la population et les statistiques de l'état civil (diverses années), (3) Rapports de recensement et autres publications statistiques des bureaux nationaux de statistiques, (4) Eurostat : statistiques démographiques, (5) Secrétariat de la Communauté du Pacifique : programme de statistiques et de démographie et (6) Bureau du recensement américain : base de données internationale.",
"SP.ADO.TFRT","Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)","Le taux de fertilité chez les adolescents est le nombre de naissances pour 1 000 femmes âgées de 15 à 19 ans.","Source : Division des Nations Unies pour la population, Perspectives pour la Population mondiale.",
"SN.ITK.MSFI.ZS","","","",
"SM.POP.REFG.OR","Population de réfugiées par pays ou territoire d’origine","Les réfugiés sont des personnes qui sont reconnues comme réfugiés en vertu de la Convention Relative au Statut des Réfugiés ou à son Protocole de 1967, la Convention de l'Organisation de l'Unité africaine de 1969 régissant les Aspects spécifiques des problèmes des réfugiés en Afrique, les personnes reconnues comme réfugiés selon le statut de l'UNHCR, les personnes auxquelles on a accordé un statut humanitaire de réfugié et les personnes bénéficiant d'une protection temporaire. Les demandeurs d'asile (personnes qui ont fait une demande d'asile ou du statut de réfugié et qui n'ont pas encore reçu une décision ou qui sont enregistrées comme demandeurs d'asile) sont exclus.    Les réfugiés palestiniens sont des personnes (et leurs descendants) dont le pays de résidence était la Palestine entre juin 1946 et mai 1948 et qui ont perdu leur maison et leur moyens de subsistance suite au conflit arabo-israélien de 1948. Le pays d'origine fait généralement référence à la nationalité ou au pays de citoyenneté d'un demandeur.","Haut Commissariat des Nations Unies pour les réfugiés (UNHCR), Annuaire statistique des Nations Unis et fichiers de données des Nations Unis et, en complément, statistiques sur les réfugiés palestiniens sous le mandat de l'UNRWA telles que publiées sur son site Web. Les données de l'UNHCR sont disponibles en ligne à l'adresse suivante : www.unhcr.org/statistics/populationdatabase.",
"SL.WAG.0714.MA.ZS","Travail des enfants, travail salarié, garçons (en % de toutes les formes d’emploi chez les garçons de 7 à 14 ans)","Wage workers (also known as employees) are people who hold explicit (written or oral) or implicit employment contracts that provide basic remuneration that does not depend directly on the revenue of the unit for which they work.","Projet  Understanding Children's Work , OIT, UNICEF et Banque mondiale.",
"SL.UEM.TOTL.MA.ZS","Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)","Le chômage fait référence à la part de la population active qui est sans emploi mais qui est disponible pour et à la recherche d'un emploi. Les définitions de la population active et du chômage diffèrent selon le pays.","Organisation internationale du travail, ILOSTAT.",
"SL.UEM.NEET.ZS","Part des jeunes qui ne sont ni en emploi, ni en études, ni en formation (% de la population des 15-24 ans)","Share of youth not in education, employment or training (NEET) is the proportion of young people who are not in education, employment, or training to the population of the corresponding age group: youth (ages 15 to 24); persons ages 15 to 29; or both age groups.","Organisation internationale du travail, Indicateurs clés du marché du travail.",
"SL.UEM.INTM.MA.ZS","Chômage dans la population avec un niveau d’études intermédiaire, hommes (% de la population active masculine dans cette catégorie)","The percentage of the labor force with an intermediate level of education who are unemployed. Intermediate education comprises upper secondary or post-secondary non tertiary education according to the International Standard Classification of Education 2011 (ISCED 2011).","Organisation internationale du travail, ILOSTAT.",
"SL.UEM.BASC.FE.ZS","Chômage dans la population avec un niveau d’études de base, femmes (% de la population active féminine dans cette catégorie)","The percentage of the labor force with a basic level of education who are unemployed. Basic education comprises primary education or lower secondary education according to the International Standard Classification of Education 2011 (ISCED 2011).","Organisation internationale du travail, ILOSTAT.",
"SL.UEM.1524.ZS","Chômage, total des jeunes (% de la population active âgée de 15 à 24 ans) (estimation modélisée OIT)","Le chômage des jeunes fait référence à la part de la population active âgée de 15 à 24 ans sans emploi mais disponible pour et à la recherche d'un emploi. Les définitions de la population active et du chômage diffèrent selon le pays.","Organisation internationale du travail, ILOSTAT.",
"SL.UEM.1524.FE.ZS","Chômage, jeunes femmes (% de la population active féminine de 15 à 24 ans) (estimation modélisée OIT)","Le chômage des jeunes fait référence à la part de la population active âgée de 15 à 24 ans sans emploi mais disponible pour et à la recherche d'un emploi. Les définitions de la population active et du chômage diffèrent selon le pays.","Organisation internationale du travail, ILOSTAT.",
"SL.TLF.PART.ZS","Emploi à temps partiel, total (% de l'emploi total)","Le travail à temps partiel correspond à un emploi régulier dans lequel les horaires de travail sont considérablement inférieurs à la normale. La définition du travail à temps partiel dépend des pays.","Source : Organisation internationale du Travail, base de données des principaux indicateurs du marché du travail.",
"SL.TLF.INTM.MA.ZS","Population active avec un niveau d’études intermédiaire, hommes (% de la population active masculine)","The percentage of the working age population with an intermediate level of education who are in the labor force. Intermediate education comprises upper secondary or post-secondary non tertiary education according to the International Standard Classification of Education 2011 (ISCED 2011).","Organisation internationale du travail, ILOSTAT.",
"SL.TLF.CACT.MA.ZS","Taux de participation à la population active, hommes (% de la population masculine âgée de 15 ans et plus) (estimation modélisée OIT)","Le taux de participation à la population active est la proportion de la population âgée de 15 ans et plus qui est économiquement active :  toutes les personnes qui fournissent du travail pour la production de biens et de services au cours d'une période donnée.","Organisation internationale du travail, ILOSTAT.",
"SL.TLF.CACT.FE.ZS","Taux de participation à la population active, femmes (% de la population féminine âgée de 15 ans et plus) (estimation modélisée OIT)","Le taux de participation à la population active est la proportion de la population âgée de 15 ans et plus qui est économiquement active :  toutes les personnes qui fournissent du travail pour la production de biens et de services au cours d'une période donnée.","Organisation internationale du travail, ILOSTAT.",
"SL.TLF.BASC.FE.ZS","Population active avec un niveau d’études de base, femmes (% de la population active féminine)","The percentage of the working age population with a basic level of education who are in the labor force. Basic education comprises primary education or lower secondary education according to the International Standard Classification of Education 2011 (ISCED 2011).","Organisation internationale du travail, ILOSTAT.",
"SL.TLF.ACTI.ZS","Taux de participation à la population active, total (% de la population totale de 15 à 64 ans) (estimation modélisée OIT)","Le taux de participation à la population active est la proportion de la population âgée de 15-64 ans  qui est économiquement active :  toutes les personnes qui fournissent du travail pour la production de biens et de services au cours d'une période donnée.","Organisation internationale du travail, indicateurs-clés de la base de données sur le marché du travail.",
"SL.TLF.ACTI.1524.NE.ZS","Taux d’activité des 15-24 ans (%) (estimation nationale)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","Organisation internationale du travail, Indicateurs clés du marché du travail.",
"SL.TLF.ACTI.1524.FE.NE.ZS","Taux d’activité des 15-24 ans, femmes (%) (estimation nationale)","Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.","Organisation internationale du travail, Indicateurs clés du marché du travail.",
"SL.TLF.0714.WK.MA.ZS","Enfants actifs économiquement, qui travaillent uniquement, garçons (% de tous les garçons économiquement actifs de 7 à 14 ans)","Les enfants économiquement actifs sont les enfants qui ont participé à une activité économique pendant au moins une heure au cours de la semaine de référence de l'enquête. Les enfants qui travaillent sont ceux qui se livrent à une activité économique et qui ne fréquentent pas l'école.","Understanding Children's Work Project (projet Comprendre le travail des enfants) fondé sur les données de l’OIT, de l’UNICEF et de la Banque mondiale.",
"SL.TLF.0714.SW.ZS","Enfants actifs économiquement, qui étudient et travaillent (% de tous les enfants économiquement actifs de 7 à 14 ans)","Les enfants économiquement actifs sont les enfants qui ont participé à une activité économique pendant au moins une heure au cours de la semaine de référence de l'enquête. Les enfants faisant des études et  qui travaillent sont ceux qui combinent la fréquentation de l'école et une activité économique.","Understanding Children's Work Project (projet Comprendre le travail des enfants) fondé sur les données de l’OIT, de l’UNICEF et de la Banque mondiale.",
"SL.TLF.0714.SW.FE.ZS","Enfants actifs économiquement, qui étudient et travaillent, filles (% de toutes les filles économiquement actives de 7 à 14 ans)","Les enfants économiquement actifs sont les enfants qui ont participé à une activité économique pendant au moins une heure au cours de la semaine de référence de l'enquête. Les enfants faisant des études et  qui travaillent sont ceux qui combinent la fréquentation de l'école et une activité économique.","Understanding Children's Work Project (projet Comprendre le travail des enfants) fondé sur les données de l’OIT, de l’UNICEF et de la Banque mondiale.",
"SL.SRV.EMPL.ZS","Emplois dans les services (% du total des emplois)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","Organisation internationale du travail, Indicateurs clés du marché du travail.",
"SL.SRV.0714.MA.ZS","Emploi d’enfants dans le secteur des services, garçons (% des garçons économiquement actifs de 7 à 14 ans travaillant dans ce secteur)","L'emploi par activité économique est la répartition des enfants économiquement actifs entre les principales catégories industrielles (révision 2 ou révision 3 de la CITI). Les services correspondent aux divisions de 6 à 9 (révision 2 de la CITI) ou aux catégories de G à P (révision 3 de la CITI) et ils comprennent le commerce de gros et de détail, les hôtels et les restaurants, les transports, l'intermédiation financière, l'immobilier, l'administration publique, l'éducation, les soins de santé, les services sociaux, les autres services communautaires et les services rendus dans des résidences privées. Les enfants économiquement actifs sont les enfants qui ont participé à une activité économique pendant au moins une heure au cours de la semaine de référence de l'enquête.","Understanding Children's Work Project (projet Comprendre le travail des enfants) fondé sur les données de l’OIT, de l’UNICEF et de la Banque mondiale.",
"SL.SLF.0714.FE.ZS","Travail des enfants, travail indépendant, filles (en % de toutes les formes d’emploi chez les filles de 7 à 14 ans)","Self-employed workers are people whose remuneration depends directly on the profits derived from the goods and services they produce, with or without other employees, and include employers, own-account workers, and members of producers cooperatives.","Projet  Understanding Children's Work , OIT, UNICEF et Banque mondiale.",
"SL.IND.EMPL.ZS","Emplois dans l’industrie (% du total des emplois)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","Organisation internationale du travail, Indicateurs clés du marché du travail.",
"SL.FAM.WORK.ZS","Travailleurs familiaux (% de l’emploi total)","Les travailleurs familiaux non rémunérés sont des travailleurs qui exercent une ""activité non salariée"" en tant que travailleurs pour leur compte propre dans un établissement axé sur le marché, géré par une personne de la même famille et appartenant au même foyer.","Organisation internationale du travail, indicateurs-clés de la base de données sur le marché du travail.",
"SL.FAM.0714.MA.ZS","Travail des enfants, travail familial non rémunéré, garçons (en % de toutes les formes d’emploi chez les garçons de 7 à 14 ans)","Unpaid family workers are people who work without pay in a market-oriented establishment operated by a related person living in the same household.","Projet  Understanding Children's Work , OIT, UNICEF et Banque mondiale.",
"SL.EMP.WORK.FE.ZS","Travailleurs salariés, femmes (% de la population féminine en emploi)","Les travailleurs salariés (employés) correspondent aux travailleurs occupant le type de travail défini comme ""travail salarié"", dont les titulaires bénéficient d'un contrat de travail formel (écrit ou oral) ou tacite leur offrant une rémunération de base non directement soumise au chiffre d'affaires de l'unité pour laquelle ils travaillent.","Source : Organisation internationale du Travail, base de données des principaux indicateurs du marché du travail.",
"SL.EMP.TOTL.SP.ZS","Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT) ","Le ratio emploi-population est la proportion de la population d'un pays qui a un emploi. Les personnes âgées de 15 ans et plus sont en règle générale considérées comme la population en âge de travailler.","Organisation internationale du travail, ILOSTAT.",
"SL.EMP.TOTL.SP.FE.ZS","Ratio emploi-population, personnes âgées de 15 ans et plus, femmes (%) (estimation modélisée OIT) ","Le ratio emploi-population est la proportion de la population d'un pays qui a un emploi. Les personnes âgées de 15 ans et plus sont en règle générale considérées comme la population en âge de travailler.","Organisation internationale du travail, ILOSTAT.",
"SL.EMP.SELF.MA.ZS","Travailleurs indépendants, hommes (% de la population masculine en emploi)","Les travailleurs indépendants sont des travailleurs qui, travaillant à leur compte, avec un ou quelques partenaires ou au sein d'une coopérative, occupent un type de poste défini comme une ""activité non salariée"".","Source : Organisation internationale du Travail, base de données des principaux indicateurs du marché du travail.",
"SL.EMP.MPYR.FE.ZS","Chefs d’entreprise, femmes (% de la population féminine en emploi)","Les employeurs sont des travailleurs qui, travaillant à leur propre compte ou avec un ou plusieurs partenaires, occupent le type de travail défini comme une ""activité non salariée"", c'est-à-dire un travail dont la rémunération dépend directement des bénéfices tirés des biens et services produits), et, en cette qualité, ont engagé, à long terme, une ou plusieurs personnes qui travaillent pour eux en tant qu'employés.","Source : principaux indicateurs relatifs au marché du travail de l'OIT.",
"SL.EMP.1524.SP.MA.NE.ZS","Taux d emploi, 15-24 ans, hommes (%) (estimation nationale)","Employment to population ratio is the proportion of a country's population that is employed. Employment is defined as persons of working age who, during a short reference period, were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period (i.e. who worked in a job for at least one hour) or not at work due to temporary absence from a job, or to working-time arrangements. Ages 15-24 are generally considered the youth population.","Organisation internationale du travail, Indicateurs clés du marché du travail.",
"SL.AGR.EMPL.MA.ZS","Employés, agriculture, hommes (% d’emploi des hommes)","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","Organisation internationale du travail, Indicateurs clés du marché du travail.",
"SL.AGR.0714.FE.ZS","Emploi des enfants dans l’agriculture, filles (% de filles économiquement actives de 7 à 14 ans travaillant dans ce secteur)","L'emploi par activité économique est la répartition des enfants économiquement actifs entre les principales catégories industrielles (révision 2 ou révision 3 de la CITI). L'agriculture correspond à la division 1 (révision 2 de la CITI) ou aux catégories A et B (révision 3 de la CITI) et comprend l'agriculture, la chasse, l'exploitation forestière et la pêche. Les enfants économiquement actifs sont les enfants qui ont participé à une activité économique pendant au moins une heure au cours de la semaine de référence de l'enquête.","Understanding Children's Work Project (projet Comprendre le travail des enfants) fondé sur les données de l’OIT, de l’UNICEF et de la Banque mondiale.",
"SI.SPR.PC40","Consommation moyenne ou revenu moyen par habitant, 40 % les plus pauvres de la population (en USD par jour, PPA de 2011)","Mean consumption or income per capita (2011 PPP $ per day) used in calculating the growth rate in the welfare aggregate of the bottom 40% of the population in the income distribution in a country.","Banque mondiale, base de données mondiale sur la prospérité partagée (GDSP) autour de 2008-13 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",
"SI.POV.UMIC","","","",
"SI.POV.MDIM.IT","","","",
"SI.POV.MDIM.17","","","",
"SI.POV.GINI","Indice GINI","L'indice de Gini indique dans quelle mesure la répartition des revenus (ou, dans certains cas, les dépenses de consommation) entre les individus ou les ménages au sein d’une économie s’écarte de l’égalité parfaite. Une courbe de Lorenz indique les pourcentages cumulatifs du total des revenus reçus par rapport au nombre cumulatif des bénéficiaires, en commençant par les individus ou les ménages les plus pauvres. L'indice Gini indique l'aire entre la courbe Lorenz et une ligne hypothétique d'égalité absolue en tant que pourcentage de l'aire maximale située sous cette ligne. Le coefficient de Gini est compris entre 0 (égalité parfaite) et 100 (inégalité absolue).","Banque mondiale, Groupe de recherche pour le développement. Données d'après les données brutes d'enquêtes sur les ménages obtenues des organismes statistiques gouvernementaux et des départements-pays de la Banque mondiale. Pour obtenir de plus amples renseignements et connaître les méthodes d’estimation, veuillez vous rendre au site de PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",
"SI.DST.FRST.10","Part des revenus détenus par les 10% moins élevés","Le pourcentage du revenu ou la consommation est la part qui revient à des sous-groupes de la population indiquée par décile ou quintile.","Banque mondiale, Groupe de recherche pour le développement. Données d’après les données brutes d’enquêtes sur les ménages obtenues des organismes statistiques gouvernementaux et des départements-pays de la Banque mondiale. Les données sur les économies à revenu élevé sont tirées de la base de données de l’Étude sur le revenu du Luxembourg. Pour obtenir de plus amples renseignements et connaître la méthode, veuillez consulter le site de PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",
"SI.DST.04TH.20","Part des revenus détenus par le quatrième quartile de 20 %","Le pourcentage du revenu ou la consommation est la part qui revient à des sous-groupes de la population indiquée par décile ou quintile. Il se peut que la somme des parts par quintile ne corresponde pas à 100 à cause de l'arrondissement.","Banque mondiale, Groupe de recherche pour le développement. Données d’après les données brutes d’enquêtes sur les ménages obtenues des organismes statistiques gouvernementaux et des départements-pays de la Banque mondiale. Les données sur les économies à revenu élevé sont tirées de la base de données de l’Étude sur le revenu du Luxembourg. Pour obtenir de plus amples renseignements et connaître la méthode, veuillez consulter le site de PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",
"SH.XPD.PVTD.PC.CD","","","",
"SH.XPD.OOPC.CH.ZS","","","",
"SH.XPD.GHED.GD.ZS","","","",
"SH.XPD.EHEX.CH.ZS","","","",
"SH.VAC.TTNS.ZS","Nouveaux-nés protégés contre le tétanos (%)","Les nouveau-nés protégés contre le tétanos correspondent au pourcentage d'enfants mis au monde par des femmes en âge d'enfanter immunisés contre le tétanos.","WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).",
"SH.UHC.SRVS.CV.XD","","","",
"SH.UHC.NOP2.ZS","","","",
"SH.UHC.FBP1.ZS","","","",
"SH.SVR.WAST.ZS","Prévalence de l’émaciation sévère, rapport poids/taille (% des enfants de moins de 5 ans)","Prevalence of severe wasting is the proportion of children under age 5 whose weight for height is more than three standard deviations below the median for the international reference population ages 0-59.","Organisation mondiale de la santé, Global Database on Child Growth and Malnutrition. Les données à l’échelle des pays sont des données non corrigées issues d’enquêtes nationales, et ne sont donc pas comparables entre les pays. Des données corrigées et comparables sont disponibles à l’adresse http://www.who.int/nutgrowthdb/en. L’agrégation des données repose sur des séries de données et des méthodologies harmonisées entre l’UNICEF, l’OMS et la Banque mondiale.",
